start_freq,end_freq,allocation,applications
9000,14000,not allocated,"Inductive applications, Ultra Low Power Active Medical Implants, On-site paging"
14000,19950,MARITIME MOBILE,"Inductive applications, Ultra Low Power Active Medical Implants, Maritime military systems, On-site paging"
19950,20050,not allocated,"Inductive applications, Ultra Low Power Active Medical Implants, On-site paging"
20050,70000,"FIXED, MARITIME MOBILE","Inductive applications, Ultra Low Power Active Medical Implants, Maritime military systems, On-site paging, Point-to-Point"
70000,72000,not allocated,"Inductive applications, Ultra Low Power Active Medical Implants"
72000,84000,FIXED,"Inductive applications, Ultra Low Power Active Medical Implants, Point-to-Point"
84000,130000,not allocated,"Inductive applications, Ultra Low Power Active Medical Implants"
130000,135700,FIXED,"Inductive applications, Ultra Low Power Active Medical Implants, Point-to-Point, Tracking systems"
135700,137800,"FIXED, Amateur","Inductive applications, Ultra Low Power Active Medical Implants, Point-to-Point, Tracking systems, Amateur"
137800,148500,FIXED,"Inductive applications, Ultra Low Power Active Medical Implants, Point-to-Point, Tracking systems"
148500,255000,not allocated,"Inductive applications, Ultra Low Power Active Medical Implants"
255000,283500,AERONAUTICAL RADIONAVIGATION,"Inductive applications, Ultra Low Power Active Medical Implants, Beacons (aeronautical)"
283500,315000,"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION","Inductive applications, Ultra Low Power Active Medical Implants, Beacons (aeronautical), Beacons (maritime), Defence systems"
315000,405000,AERONAUTICAL RADIONAVIGATION,"Inductive applications, Ultra Low Power Animal Implantable Devices, Beacons (aeronautical), Defence systems"
405000,415000,RADIONAVIGATION,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems"
415000,435000,"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE","Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications, Defence systems"
435000,495000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications, Defence systems, Detection of avalanche victims (457 kHz), Amateur (472-479 kHz)"
495000,505000,MOBILE (distress and calling),"Inductive applications, Ultra Low Power Animal Implantable Devices, GMDSS, Amateur (501-504 kHz)"
505000,526500,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems, Maritime communications"
526500,1606500,BROADCASTING,"Inductive applications, Ultra Low Power Animal Implantable Devices (315-600 kHz), AM sound analogue"
1606500,1625000,MARITIME MOBILE,"Inductive applications, Defence systems, Maritime communications"
1625000,1635000,RADIOLOCATION,"Inductive applications, Defence systems"
1635000,1800000,"FIXED, MARITIME MOBILE","Inductive applications, Defence systems, Maritime communications, Point-to-Point"
1800000,1810000,RADIOLOCATION,"Inductive applications, Defence systems"
1810000,1830000,MOBILE except aeronautical mobile,"Inductive applications, Amateur, Defence systems, Maritime communications"
1830000,1850000,AMATEUR,"Inductive applications, Amateur"
1850000,2000000,MOBILE except aeronautical mobile,"Inductive applications, Amateur, Defence systems, Maritime communications"
2000000,2025000,"FIXED, MOBILE except aeronautical mobile (R)","Inductive applications, Defence systems"
2025000,2045000,MOBILE except aeronautical mobile (R),"Inductive applications, Defence systems"
2045000,2160000,"LAND MOBILE, MARITIME MOBILE","Inductive applications, Defence systems, Maritime communications"
2160000,2170000,RADIOLOCATION,"Inductive applications, Defence systems"
2170000,2173500,MARITIME MOBILE,"Inductive applications, Defence systems"
2173500,2190500,MOBILE (distress and calling),"Inductive applications, GMDSS"
2190500,2300000,MARITIME MOBILE,"Inductive applications, Defence systems"
2300000,2498000,MOBILE except aeronautical mobile (R),"Inductive applications, Defence systems"
2498000,2502000,not allocated,Inductive applications
2502000,2625000,"FIXED, MOBILE except aeronautical mobile (R)","Inductive applications, Defence systems, Point-to-Point"
2625000,2650000,"MARITIME MOBILE, MARITIME RADIONAVIGATION","Inductive applications, Defence systems"
2650000,2850000,"FIXED, MOBILE except aeronautical mobile (R)","Inductive applications, Defence systems, Point-to-Point"
2850000,3025000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
3025000,3155000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
3155000,3230000,"FIXED, MOBILE except aeronautical mobile (R)","Inductive applications, Defence systems, Point-to-Point"
